spam,text
ham,Good morning princess! Happy New Year!
ham,"No, I decided that only people who care about stuff vote and caring about stuff is for losers"
ham,How come she can get it? Should b quite diff to guess rite...
ham,I absolutely LOVE South Park! I only recently started watching the office.
ham,S.i'm watching it in live..
ham,Ok.ok ok..then..whats ur todays plan
ham,"Night has ended for another day, morning has come in a special way. May you smile like the sunny rays and leaves your worries at the blue blue bay."
ham,WHO ARE YOU SEEING?
ham,"Forgot you were working today! Wanna chat, but things are ok so drop me a text when you're free / bored etc and i'll ring. Hope all is well, nose essay and all xx"
ham,Eatin my lunch...
ham,"Awesome, think we can get an 8th at usf some time tonight?"
ham,Are you angry with me. What happen dear
ham,The message sent is askin for  &lt;#&gt; dollars. Shoul i pay  &lt;#&gt;  or  &lt;#&gt; ?
ham,NO GIFTS!! You trying to get me to throw myself off a cliff or something?
ham,"Hey there! Glad u r better now. I hear u treated urself to a digi cam, is it good? We r off at 9pm. Have a fab new year, c u in coupla wks!"
ham,"Got ur mail Dileep.thank you so muchand look forward to lots of support...very less contacts here,remember one venugopal you mentioned.tomorrow if not late,i shall try to come up till there.goodnight dear."
ham,"Friendship is not a game to play, It is not a word to say, It doesn\'t start on March and ends on May, It is tomorrow, yesterday, today and e"
ham,This is hoping you enjoyed your game yesterday. Sorry i've not been in touch but pls know that you are fondly bein thot off. Have a great week. Abiola
ham,I HAVE A DATE ON SUNDAY WITH WILL!!
ham,"Aight, tomorrow around  &lt;#&gt;  it is"
